inputstate,birthyr,gender,sexuality,trans,educ,votereg,race,employ,internethome,internetwork,marstat,pid3,ideo5,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,child18num,newsint,faminc_new,ownhome,urbancity,immstat,cit1,unionhh,investor,vote2016
Oregon,1971,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Other,Moderate,No,Somewhat important,A few times a year,Once a day,Roman Catholic,0,Only now and then,"Less than $10,000",Rent,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Someone else
Minnesota,1950,Male,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Married,Republican,Conservative,No,Not too important,Seldom,Seldom,Something else,0,Some of the time,Prefer not to say,Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Donald Trump
Texas,1952,Female,Heterosexual / straight,No,High school graduate,Yes,Hispanic,Retired,Dial-up,Broadband,Married,Republican,Very conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$120,000 - $149,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Arizona,1969,Male,Heterosexual / straight,No,4-year,Yes,Hispanic,Full-time,Broadband,Broadband,Married,Republican,Moderate,No,Not at all important,Never,Never,Jewish,0,Most of the time,"$500,000 or more",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Delaware,1957,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Married,Republican,Conservative,Yes,Not too important,Seldom,Once a day,Protestant,0,Most of the time,"$80,000 - $99,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
California,1980,Male,Heterosexual / straight,No,4-year,Yes,Asian,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not at all important,Never,Never,Agnostic,1,Some of the time,"$200,000 - $249,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Someone else
Pennsylvania,1944,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Divorced,Republican,Conservative,No,Not at all important,Never,Never,Protestant,0,Some of the time,"$40,000 - $49,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Texas,1947,Male,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,Broadband,Married,Democrat,Very liberal,No,Very important,Once or twice a month,Several times a day,Roman Catholic,0,Most of the time,"$30,000 - $39,999",Rent,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Texas,1948,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Widowed,Republican,Conservative,Yes,Very important,Once a week,Once a day,Protestant,0,Most of the time,"$10,000 - $19,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Donald Trump
Arizona,1982,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Married,Independent,Moderate,Yes,Somewhat important,Seldom,A few times a week,Nothing in particular,2,Only now and then,"$80,000 - $99,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Someone else
Illinois,1976,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Very conservative,Yes,Very important,Once a week,Several times a day,Protestant,2,Most of the time,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Donald Trump
California,1980,Male,Heterosexual / straight,No,2-year,Yes,Asian,Full-time,Broadband,Broadband,Married,Republican,Very conservative,No,Not too important,Never,Seldom,Buddhist,0,Most of the time,"$120,000 - $149,999",Own,City,I am an immigrant to the USA and a naturalized citizen,Yes,"Yes, a member of my household is currently a union member",Yes,Donald Trump
Texas,1999,Male,Gay man,No,Some college,Yes,Hispanic,Student,Broadband,Broadband,Never married,Democrat,Very liberal,No,Somewhat important,Seldom,A few times a week,Roman Catholic,0,Some of the time,"$70,000 - $79,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Florida,1947,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Married,Republican,Very conservative,No,Not at all important,Never,Never,Agnostic,0,Most of the time,"$250,000 - $349,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Donald Trump
Massachusetts,1975,Male,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Conservative,No,Somewhat important,Seldom,A few times a week,Roman Catholic,2,Most of the time,"$80,000 - $99,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Tennessee,1976,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Very conservative,Yes,Very important,Once or twice a month,A few times a week,Protestant,2,Some of the time,"$20,000 - $29,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Florida,1992,Female,Heterosexual / straight,Yes,Some college,No,White,Full-time,Broadband,Broadband,Married,Republican,Liberal,Yes,Somewhat important,More than once a week,Several times a day,Roman Catholic,2,Most of the time,"$20,000 - $29,999",Rent,Suburb,I am an immigrant to the USA and a naturalized citizen,Yes,"Yes, a member of my household is currently a union member",Yes,Donald Trump
Kentucky,1947,Male,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Married,Democrat,Conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Some of the time,"$80,000 - $99,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
California,1997,Male,Heterosexual / straight,Prefer not to say,Some college,Yes,Mixed,Full-time,Broadband,Broadband,Widowed,Not sure,Liberal,No,Not too important,A few times a year,Once a week,Nothing in particular,2,Only now and then,"$20,000 - $29,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Someone else
Pennsylvania,1959,Male,Heterosexual / straight,No,High school graduate,Yes,White,Part-time,Broadband,None,Never married,Republican,Conservative,No,Somewhat important,Seldom,Once a day,Roman Catholic,0,Only now and then,"$30,000 - $39,999",Rent,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Florida,1980,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Liberal,No,Very important,Once a week,Once a day,Roman Catholic,2,Most of the time,"$80,000 - $99,999",Own,City,I am an immigrant to the USA and a naturalized citizen,Yes,"Yes, a member of my household is currently a union member",Yes,Donald Trump
Idaho,1985,Male,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Moderate,No,Somewhat important,Seldom,Seldom,Protestant,3,Some of the time,"$40,000 - $49,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Someone else
Alabama,1935,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Widowed,Republican,Conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$20,000 - $29,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Georgia,1996,Male,Heterosexual / straight,Yes,Some college,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Very liberal,No,Not too important,Once or twice a month,A few times a week,Protestant,0,Some of the time,"$50,000 - $59,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,Hillary Clinton
Texas,1942,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Married,Republican,Very conservative,Yes,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,"$40,000 - $49,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Donald Trump
Oregon,1963,Male,Heterosexual / straight,No,High school graduate,Yes,White,Permanently disabled,Broadband,None,Married,Republican,Very conservative,Yes,Very important,Seldom,Several times a day,Something else,0,Some of the time,"$20,000 - $29,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Michigan,1996,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Liberal,No,Not at all important,Seldom,Never,Agnostic,0,Only now and then,"$120,000 - $149,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Pennsylvania,1969,Female,Heterosexual / straight,No,Post-grad,Yes,Hispanic,Full-time,Broadband,Broadband,Never married,Independent,Moderate,Yes,Very important,Once a week,Once a day,Protestant,1,Some of the time,"$200,000 - $249,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Someone else
Oregon,1946,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,Broadband,Widowed,Republican,Moderate,No,Not at all important,Never,A few times a week,Nothing in particular,0,Some of the time,"$120,000 - $149,999",Other,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Missouri,1984,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,None,Never married,Republican,Moderate,No,Not at all important,Never,Never,Nothing in particular,3,Only now and then,"$40,000 - $49,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Pennsylvania,1977,Female,Heterosexual / straight,No,2-year,Yes,Black,Temporarily laid off,Broadband,Broadband,Never married,Democrat,Moderate,No,Somewhat important,A few times a year,A few times a week,Nothing in particular,1,Some of the time,"$40,000 - $49,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,Hillary Clinton
Alabama,1977,Female,Heterosexual / straight,No,2-year,Yes,Black,Homemaker,Broadband,Broadband,Never married,Democrat,Very liberal,Yes,Very important,Once a week,Several times a day,Protestant,1,Most of the time,"$20,000 - $29,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
California,1994,Male,Heterosexual / straight,No,2-year,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Moderate,No,Somewhat important,A few times a year,A few times a month,Protestant,0,Some of the time,"$30,000 - $39,999",Rent,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
California,1986,Male,Heterosexual / straight,No,Post-grad,Yes,Hispanic,Full-time,Broadband,Broadband,Never married,Democrat,Very liberal,No,Not too important,Once a week,Never,Roman Catholic,0,Most of the time,"$80,000 - $99,999",Other,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Michigan,1964,Female,Heterosexual / straight,No,4-year,Yes,Black,Full-time,Broadband,Broadband,Divorced,Democrat,Moderate,Yes,Somewhat important,Seldom,Several times a day,Nothing in particular,0,Some of the time,"$100,000 - $119,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
North Carolina,1941,Male,Heterosexual / straight,No,High school graduate,Yes,Other,Retired,Broadband,None,Divorced,Independent,Very conservative,Yes,Very important,A few times a year,A few times a week,Protestant,0,Most of the time,"$30,000 - $39,999",Rent,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Georgia,1982,Male,Heterosexual / straight,No,4-year,Yes,White,Part-time,Broadband,Broadband,Married,Republican,Conservative,No,Very important,A few times a year,Several times a day,Roman Catholic,2,Most of the time,"$80,000 - $99,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Indiana,1952,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Divorced,Republican,Conservative,Yes,Very important,Seldom,A few times a month,Protestant,0,Some of the time,"$60,000 - $69,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Texas,1979,Female,Heterosexual / straight,No,4-year,Yes,Hispanic,Homemaker,Broadband,None,Married,Democrat,Liberal,No,Not too important,Seldom,Once a day,Protestant,3,Some of the time,"$60,000 - $69,999",Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Maryland,1971,Female,Heterosexual / straight,No,Post-grad,Yes,Hispanic,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Somewhat important,Seldom,A few times a month,Roman Catholic,1,Some of the time,"$150,000 - $199,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"Yes, a member of my household is currently a union member",Yes,Hillary Clinton
Massachusetts,1957,Female,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Moderate,No,Not too important,Never,Seldom,Roman Catholic,0,Some of the time,Prefer not to say,Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
New York,1979,Male,Heterosexual / straight,No,4-year,Yes,Black,Full-time,Broadband,None,Married,Democrat,Not sure,Yes,Very important,More than once a week,Several times a day,Protestant,0,Only now and then,"$150,000 - $199,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Florida,1989,Female,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Very liberal,Yes,Somewhat important,Seldom,Once a day,Something else,2,Most of the time,"$50,000 - $59,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Pennsylvania,1967,Female,Heterosexual / straight,No,Some college,Yes,Hispanic,Retired,Broadband,Broadband,Married,Democrat,Moderate,Yes,Very important,Once a week,A few times a week,Protestant,1,Only now and then,"$40,000 - $49,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Texas,1987,Female,Heterosexual / straight,No,High school graduate,No,Hispanic,Unemployed,None,None,Never married,Democrat,Liberal,Yes,Very important,Don't know,A few times a month,Nothing in particular,3,Don't know,"Less than $10,000",Other,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Indiana,1935,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Divorced,Democrat,Conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Some of the time,"$20,000 - $29,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Pennsylvania,1951,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Married,Democrat,Conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Some of the time,"$30,000 - $39,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",Yes,Hillary Clinton
California,1983,Male,Heterosexual / straight,No,2-year,Yes,Hispanic,Full-time,Broadband,Broadband,Domestic / civil partnership,Independent,Moderate,No,Somewhat important,Once a week,Once a day,Roman Catholic,1,Only now and then,"$40,000 - $49,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Texas,1981,Male,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Never married,Republican,Conservative,No,Not too important,Never,A few times a week,Protestant,0,Most of the time,"$70,000 - $79,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Florida,1972,Male,Heterosexual / straight,No,2-year,Yes,Black,Full-time,Broadband,Broadband,Divorced,Independent,Moderate,Yes,Very important,Once a week,Once a day,Protestant,0,Most of the time,"$60,000 - $69,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
California,1986,Female,Heterosexual / straight,No,Post-grad,Yes,Asian,Full-time,Broadband,Broadband,Married,Democrat,Moderate,No,Not at all important,Never,Never,Nothing in particular,0,Only now and then,"$80,000 - $99,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Wisconsin,1976,Male,Heterosexual / straight,No,2-year,Yes,Hispanic,Full-time,Broadband,None,Separated,Republican,Conservative,No,Somewhat important,Seldom,Once a day,Roman Catholic,1,Most of the time,"$20,000 - $29,999",Rent,City,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Minnesota,1978,Male,Heterosexual / straight,No,2-year,Yes,Native American,Full-time,Broadband,Broadband,Never married,Democrat,Liberal,No,Very important,A few times a year,Once a week,Roman Catholic,0,Most of the time,"$50,000 - $59,999",Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Someone else
Florida,1980,Female,Lesbian / gay woman,No,High school graduate,Yes,White,Permanently disabled,None,None,Never married,Democrat,Not sure,No,Somewhat important,Seldom,Once a day,Nothing in particular,14,Don't know,"$20,000 - $29,999",Rent,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Louisiana,1943,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,Broadband,Widowed,Independent,Very conservative,No,Not at all important,Never,Seldom,Nothing in particular,0,Most of the time,"$20,000 - $29,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Indiana,1942,Male,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,Broadband,Married,Democrat,Liberal,No,Not too important,Seldom,Never,Protestant,2,Most of the time,"$70,000 - $79,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Hillary Clinton
Michigan,1961,Female,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Never married,Republican,Very conservative,No,Somewhat important,Once or twice a month,Once a day,Roman Catholic,0,Most of the time,"$40,000 - $49,999",Own,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Florida,1941,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Divorced,Democrat,Liberal,Yes,Somewhat important,Seldom,Once a day,Protestant,0,Some of the time,"$30,000 - $39,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Hillary Clinton
Florida,1955,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,None,Never married,Democrat,Very liberal,No,Not at all important,Never,Never,Agnostic,0,Most of the time,"$20,000 - $29,999",Rent,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
California,1972,Male,Heterosexual / straight,No,4-year,Yes,Black,Full-time,Broadband,Broadband,Married,Republican,Very conservative,No,Very important,A few times a year,Once a day,Protestant,0,Most of the time,"$50,000 - $59,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Colorado,1987,Male,Heterosexual / straight,No,Post-grad,Yes,Black,Full-time,Broadband,Broadband,Married,Democrat,Very liberal,No,Very important,Once a week,Several times a day,Buddhist,2,Most of the time,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Missouri,1945,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Married,Democrat,Very liberal,No,Not at all important,Never,Several times a day,Protestant,0,Hardly at all,"$10,000 - $19,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Texas,1988,Male,Heterosexual / straight,No,Some college,No,Black,Full-time,Broadband,Dial-up,Separated,Democrat,Conservative,No,Not too important,Once a week,A few times a week,Eastern or Greek Orthodox,0,Most of the time,"$10,000 - $19,999",Own,City,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Arizona,1945,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Divorced,Republican,Moderate,Yes,Very important,Once a week,Several times a day,Protestant,0,Only now and then,Prefer not to say,Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Delaware,1950,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Married,Democrat,Not sure,No,Not at all important,Never,Never,Nothing in particular,0,Hardly at all,"$120,000 - $149,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Texas,1998,Female,Heterosexual / straight,No,High school graduate,Yes,White,Part-time,Broadband,Broadband,Never married,Republican,Conservative,Yes,Very important,Once a week,Once a day,Protestant,0,Only now and then,"$20,000 - $29,999",Other,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Florida,1949,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,Broadband,Married,Republican,Conservative,No,Somewhat important,Seldom,Several times a day,Roman Catholic,0,Some of the time,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Donald Trump
North Carolina,1973,Male,Heterosexual / straight,No,High school graduate,Yes,Black,Full-time,Broadband,Broadband,Married,Republican,Not sure,No,Somewhat important,Never,Several times a day,Protestant,1,Don't know,"$70,000 - $79,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,I don't recall
Massachusetts,1978,Male,Gay man,No,4-year,Yes,White,Full-time,Broadband,Broadband,Domestic / civil partnership,Democrat,Very liberal,No,Somewhat important,A few times a year,A few times a month,Protestant,0,Some of the time,"$150,000 - $199,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Utah,1965,Female,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Divorced,Not sure,Not sure,No,Not at all important,Never,Seldom,Protestant,0,Hardly at all,"$30,000 - $39,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Wisconsin,1953,Female,Heterosexual / straight,No,High school graduate,Yes,White,Part-time,Broadband,Broadband,Divorced,Independent,Liberal,No,Very important,Seldom,Once a day,Nothing in particular,0,Only now and then,"$20,000 - $29,999",Rent,City,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
California,1946,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Married,Republican,Not sure,No,Somewhat important,Seldom,Don't know,Roman Catholic,0,Most of the time,Prefer not to say,Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Washington,1999,Male,Heterosexual / straight,No,2-year,Yes,White,Student,Broadband,Broadband,Never married,Republican,Conservative,No,Not at all important,Never,Never,Agnostic,0,Most of the time,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Michigan,1956,Female,Heterosexual / straight,No,No HS,Yes,White,Homemaker,Broadband,Broadband,Married,Republican,Conservative,No,Not too important,Never,Seldom,Roman Catholic,0,Most of the time,"$60,000 - $69,999",Own,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"Yes, a member of my household is currently a union member",No,Donald Trump
Florida,1949,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Married,Republican,Conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Some of the time,"$80,000 - $99,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Donald Trump
Georgia,1998,Male,Heterosexual / straight,No,High school graduate,Yes,Black,Student,Broadband,Broadband,Never married,Democrat,Moderate,No,Not at all important,Never,Never,Nothing in particular,0,Most of the time,"Less than $10,000",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Texas,1987,Male,Heterosexual / straight,Yes,Post-grad,Yes,Hispanic,Full-time,Broadband,Broadband,Married,Republican,Moderate,Yes,Not too important,Once or twice a month,A few times a month,Roman Catholic,0,Some of the time,"$50,000 - $59,999",Own,Suburb,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Georgia,1978,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Moderate,No,Not too important,A few times a year,A few times a month,Protestant,1,Most of the time,"$150,000 - $199,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Michigan,1975,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Moderate,Yes,Somewhat important,Once or twice a month,Once a day,Protestant,0,Only now and then,"$200,000 - $249,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Connecticut,1982,Male,Heterosexual / straight,No,Post-grad,Yes,Asian,Unemployed,Broadband,Broadband,Never married,Democrat,Moderate,No,Not too important,Seldom,Never,Nothing in particular,0,Hardly at all,"$50,000 - $59,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Tennessee,1965,Female,Heterosexual / straight,No,2-year,Yes,Black,Retired,Broadband,None,Married,Democrat,Liberal,Yes,Very important,More than once a week,Several times a day,Protestant,0,Some of the time,"$60,000 - $69,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
